Exp. #,Exp,Pressure,Temperature
3,062123-1200-CXDP,84778.22471554717,26.79030021663845
4,062123-1500-SYPP,84778.22471554717,27.312076445084127
5,062323-0900-OSBP,84426.62153217076,20.6
6,062323-1100-OSBB,84426.62153217076,26.201486345126387
7,062323-1330-BLKP,84426.62153217076,25.178830758969
8,062623-1000-MDFP,84602.42312385896,25.576902659215587
9,062623-1130-MDFB,84602.42312385896,26.68061074858048
10,062623-1330-CDXB,84602.42312385896,28.13817051518489
11,062623-1500-DFUB,84602.42312385896,28.552956721644627
12,062623-1630-DFUB,84602.42312385896,28.42651043922021
13,062823-0900-OSBP,84443.36454090297,23.2
14,062823-1100-SYPP,84443.36454090297,27.32097310829557
15,062823-1300-SYPB,84443.36454090297,27.456609615583048
16,062823-1430-ASHP,84443.36454090297,28.014944927692852
17,062923-1500-BLKB,84786.59621991328,27.394982359636618
18,063023-1100-ASHB,85146.5709076558,16.0
19,063023-1300-CDXP,85146.5709076558,26.465868972051457
20,063023-1500-DSOB,85146.5709076558,27.140513171984168
21,071023-0930-DSOP,84995.8838290659,27.95484860947655
22,071023-1130-XPSP,84995.8838290659,27.525153267625143
23,071023-1330-CELP,84995.8838290659,28.167778688160336
24,071023-1500-PUFP,84995.8838290659,28.393618851991963
25,071023-1600-XPSB,84995.8838290659,27.952868526465476
26,071123-1130-BLKB,84928.91179413706,26.739785227914357
27,071223-0930-CELB,84744.73869808276,27.069220963701184
28,071223-1100-PUFB,84744.73869808276,27.92483072619913
29,071223-1330-JSGB,84744.73869808276,24.8
30,071223-1530-OSBB,84744.73869808276,28.06255389040404
31,071323-1030-BLKP,85037.74135089644,24.3
32,071423-0930-TRXP,84870.31126357433,27.16646036504817
33,071423-1100-TRXB,84870.31126357433,27.86114290837602
34,071423-1300-CPLP,84870.31126357433,21.5
35,071423-1430-CPLB,84870.31126357433,21.5
36,071723-0930-CarpetP,84778.22471554717,25.4
37,071723-1130-CarpetB,84778.22471554717,27.320747593689653
38,071723-1345-PVCP,84778.22471554717,27.435196876609538
39,071723-1500-CPVCP,84778.22471554717,28.01163108695771
40,071723-1615-PVCB,84778.22471554717,28.347880082571226
41,071823-1030-BLKP,84686.13816752001,27.970384338205214
42,071923-0930-CVCB,85121.45639455748,26.55235501599965
43,071923-1100-W14P,85121.45639455748,27.130916911442753
44,071923-1300-W12P,85121.45639455748,27.00372347099236
45,071923-1430-W14B,85121.45639455748,27.707189405230913
46,071923-1600-W12B,85121.45639455748,28.437414126405006
47,072023-1100-BLKB,85581.88913469327,28.163182745781704
48,072123-0930-TRXP,85556.77462159496,25.790127908183308
49,072123-1100-TRXB,85556.77462159496,25.455039531160068
50,072123-1300-CPLP,85556.77462159496,25.873063316649098
51,072123-1430-CPLB,85556.77462159496,25.810246400131085
52,072423-0930-CPLB,84970.76931596758,25.146372632790808
53,072423-1100-CDXB,84970.76931596758,25.5585464210987
54,072423-1300-DFUP,84970.76931596758,25.574805566648482
55,072423-1430-MDFP,84970.76931596758,25.668346592724312
56,072423-1600-BLKN,84970.76931596758,25.182588765105592
57,072523-1100-MDFB,84753.11020244885,25.7
58,072523-1300-CDXP,84753.11020244885,25.7
59,072523-1430-BLKP,84753.11020244885,25.7
60,072623-0900-OSBP,84945.65480286928,24.8
61,072623-1100-OSBB,84945.65480286928,24.8
62,072623-1430-JSGP,84945.65480286928,24.8
63,072623-1430-SYPP,84912.16878540485,24.5
64,072723-1100-DFUB,84912.16878540485,24.5
65,072723-1330-SYPB,84912.16878540485,24.5
66,072823-0930-SYPB,85221.91444695074,23.1
67,072823-1130-SYPP,85221.91444695074,23.1
68,072823-1330-DSOB,85221.91444695074,23.1
69,073123-0930-DSOP,85247.02896004907,24.2
70,073123-1100-CPLP,85247.02896004907,24.2
71,073123-1300-PVCP,85247.02896004907,24.2
72,073123-1430-PVCB,85247.02896004907,24.2
73,073123-1530-XPSB,85247.02896004907,24.2
74,080123-0930-PUFB,85238.65745568296,21.6
75,080123-1115-PUFP,85238.65745568296,21.6
76,080123-1300-XPSP,85238.65745568296,21.6
77,080123-1400-ASHP,85238.65745568296,21.6
78,080123-1515-BLKB,85238.65745568296,21.6
79,080223-1030-HRDP,85230.28595131685,22.3
80,080223-1130-HRDB,85230.28595131685,22.3
81,080223-1330-LVPP,85230.28595131685,22.3
82,080223-1430-LVPB,85230.28595131685,22.3
83,080423-OSBSB,84995.8838290659,22.9
84,084023-1100-OSBSP,84995.8838290659,22.9
85,080423-1300-BLKP,84995.8838290659,22.9
