Sample Name,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
200623_1500_CH8_M,3531.942,1286.735,809.111,1557.98,23.664,106.399,995.697,112.347,233.662,89.267,2.89,8.518,18.29,30.78,37.386,26.225,1075.809,94.753,NA,0.55,5.863,218.216,4.541,0.802,NA,NA,0.133,0.579,NA,129.035,NA,1.335,1.294,8.6,34.325,12.982,13.682,3.238,0.488,1.695,6.276,3.358,3.006,2.303,7.18,1.66,1.528,0.87,0.74,NA,NA,479.846,4165.306,1283.176,36.537,370.081,24.284,NA,8.906,0.153
280623_0930_OSBP_CH7_M,1088.472,720.758,247.828,431.166,8.213,54.099,207.506,35.058,87.596,28.142,1.094,4.51,24.987,11.368,30.976,10.193,14.858,17.021,NA,0.085,4.667,90.14,0.982,1.171,NA,NA,0.086,0.338,NA,82.119,0.842,0.448,3.314,7.715,26.16,10.525,9.308,2.315,0.387,1.895,4.311,3.142,5.2,2.356,6.135,2.099,2.228,1.072,1.317,NA,2.5,85.513,995.098,369.491,18.229,112.76,NA,NA,0.491,0.022
280623_1100_SYPP_CH7_M,746.562,696.114,160.968,324.862,6.64,34.716,156.888,22.478,59.045,18.045,0.785,5.88,18.098,5.028,20.997,5.452,21.287,9.812,NA,0.129,3.068,61.834,0.629,0.815,0.929,NA,0.101,0.59,NA,41.085,0.427,0.381,6.835,4.515,11.503,4.798,3.872,1.387,0.302,1.179,2.369,1.596,1.341,0.871,3.527,1.089,1.558,0.568,0.776,NA,NA,2119.062,982.09,304.765,16.342,62.252,11.792,4.171,8.506,2.507
230623_1112_OSSB_B_CH7_M,21.328,2.556,8.03,1.071,1.358,3.887,1.182,0.14,0.232,0.094,0.341,1.77,1.893,0.007,0.213,0.091,5913.204,0.41,NA,0.232,0.339,1.264,16.293,0.293,0.374,0.032,0.045,0.088,0.034,3.578,0.255,0.278,0.638,0.174,0.366,0.201,0.225,0.779,0.051,0.072,0.138,0.108,0.143,0.049,0.32,0.769,0.106,0.052,0.118,NA,3.5,132.646,35.057,38.576,101.742,4.747,0.43,0.325,0.045,0.079
260623_1630_DFUP_CH7_M,809.106,618.015,170.439,275.169,6.221,24.289,221.452,19.781,39.223,15.63,0.978,2.617,5.277,3.941,6.677,4.125,18.499,8.426,NA,0.018,0.905,43.141,NA,0.392,0.412,1.18,0.078,0.054,NA,24.999,0.118,0.115,0.274,3.565,9.587,2.098,3.595,0.947,0.119,0.522,2.146,1.13,1.382,0.71,3.428,0.57,0.661,0.264,0.498,NA,1.7,815.726,1009.796,278.205,11.323,80.577,NA,NA,0.631,0.021
230623_1330_BLKP_CH8_M,11.603,1.714,4.86,0.61,1.753,2.256,0.773,0.025,0.136,0.014,0.203,1.321,6.945,0.009,0.332,0.142,NA,NA,NA,NA,0.2,0.342,128.234,0.142,0.129,0.142,0.043,NA,0.009,1.73,0.046,0.014,0.199,0.062,0.169,0.094,0.091,0.101,0.014,0.017,0.049,0.031,0.046,0.016,0.072,0.348,0.019,0.021,0.008,485.1,15.4,8.738,29.248,NA,210.477,3.066,0.85,0.17,0.419,0.012
210623_1508_SYP_CH7_M,3361.467,1430.82,736.296,1725.104,22.282,134.149,553.717,114.375,317.859,91.684,2.914,7.808,65.864,29.843,105.586,29.333,98.001,56.102,NA,0.188,15.896,396.731,2.243,6.828,1.966,NA,0.103,0.629,NA,249.591,NA,NA,11.512,26.058,60.567,32.579,18.239,7.318,1.895,5.474,13.208,6.85,6.133,4.779,16.236,2.671,7.583,2.959,3.497,87.4,2,98.771,3905.537,1178.28,26.629,310.657,75.759,27.161,49.182,11.45
260623_1500_DFUB_CH7_M,130.14,530.49,17.438,68.231,1.206,2.843,486.769,1.78,9.342,1.514,0.318,1.136,1.645,0.78,0.696,0.701,8.082,5.055,NA,0.221,0.281,132.671,0.094,0.03,0.054,0.04,0.064,0.038,0.004,21.11,0.038,0.024,0.32,3.233,2.614,10.461,1.039,0.217,0.123,0.09,0.538,0.267,0.072,0.277,0.27,0.343,0.088,0.056,0.033,NA,4.1,1493.103,113.186,35.342,11.358,6.739,1.048,0.057,0.105,0.021
280623_1300_SYPB_CH7_M,95.914,501.665,11.093,66.159,5.54,13.341,436.672,2.219,10.524,1.94,0.343,8.803,5.141,0.99,2.557,0.923,9.087,4.333,1.968,0.439,0.535,112.354,0.261,0.179,0.132,0.137,0.073,0.471,0.01,17.815,0.153,0.202,2.675,2.292,1.992,6.82,0.978,0.134,0.189,0.119,0.555,0.216,0.117,0.169,0.384,1.46,0.201,0.024,0.058,NA,5.4,770.488,106.67,94.691,19.76,4.695,0.554,0.333,1.327,0.151
290623_1500_BLKB_CH7_M,28.498,1.557,100.596,1.184,46.968,21.252,0.365,0.052,0.195,0.057,0.348,1.237,1.885,0.006,0.051,0.02,8.889,0.806,0,0.073,0.376,0.234,0.178,0.084,0.123,0.054,0.185,0.496,0.009,0.976,0.129,0.143,2.82,0.04,0.156,0.073,0.109,0.141,0.013,0.015,0.047,0.043,0.039,0.036,0.086,1.93,0.029,0.012,0.04,363.8,17.2,1811.46,23.599,49.721,17.802,1.618,0.061,0.039,0.163,0.012
