Exp. #,Experiment,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
3,062123-1200-CXDP
4,062123-1500-SYPP,37836.98008382674,15023.532259945407,12154.7272223744,27173.476193702198,484.7680198847355,2918.550628288187,5397.380346908515,2402.2907109321172,6676.194300206967,1925.6972375178161,76.51937409996668,210.8775398191675,1778.8471161180391,783.6539743532277,2772.606257281771,770.261770924613,3161.4854193377287,1430.5635964042206,NA,8.038114556087821,596.224422826885,11599.972535227573,70.66253060971863,245.8286359682374,73.7403884799733,NA,5.25479045587037,23.119162186866127,NA,8608.575945381954,NA,NA,492.2062487749096,1035.6120219200118,2407.0885459985166,1270.1388794714978,724.8648272238503,351.3482760475894,85.26442510492667,246.29945278330803,663.6032142787514,344.16126724783805,275.9507752868155,240.10900674122897,730.5293963079629,142.25643821816,341.1926836784481,148.66761894691285,175.6980951190788,4364.041696112527,124.14267312525685,1517.7379672410063,64399.2568134746,25617.060854941523,599.0781995037183,8385.535961011361,3863.6079818896783,1385.1747831426699,2508.216420033239,583.9347324098366
5,062323-0900-OSBP
6,062323-1100-OSBB,250.24565019565566,27.975424945098236,138.17743030739626,17.585235108468066,30.796995718365245,88.15016373879654,12.009956475890682,3.0651468163229185,5.079386152763693,2.0580271481025307,9.333940571490057,49.830194102391545,53.29297030272721,0.19160581818308034,5.83029132471373,2.4908756363800446,198843.925782687,10.897866240095482,NA,10.339823317923171,13.254104695813533,38.524471437259805,535.0443242245942,10.996016179013662,14.622522584761834,1.2511249270384457,2.3930924818404247,3.371575654802781,1.8081143196127656,128.63866407224907,11.364892008924175,12.38996069992518,28.434514124288714,7.2083197447726075,15.162327739004448,8.168424679192203,9.32110311824044,38.986268577713275,2.3919804228203216,3.376913538099277,7.22735351284301,5.656189705703224,6.7069254992805085,2.566234218328315,15.00850461377457,42.69265593875814,4.971567153312826,2.723350599042293,6.179910974749818,NA,226.45813806926853,2124.6641828228553,602.5646342579149,874.2321582990485,2385.9301193978936,133.56654876685994,22.858938942639305,17.27710501478552,2.3922145405087645,4.199665526670942
7,062323-1330-BLKP,141.6697303177317,19.521672830036845,87.02583632267095,10.422668212906396,41.36955683024963,53.240000119248805,8.17323188634201,0.5695785481072136,3.0985073017032425,0.31896398694003963,5.782252600529938,38.70013677196988,203.4613549442323,0.25635602662448,9.456688982147487,4.044728420075129,NA,NA,NA,NA,8.13712643312676,10.846911348627927,4382.099788897832,5.545573477445844,5.24844654936676,5.777359767519998,2.379610047282753,NA,0.49805791687313433,64.72434406779233,2.1334051264880225,0.6492972124093982,9.229296090676446,2.6728024067422265,7.2855420441844565,3.975213647353008,3.922984177637784,5.260002568243345,0.6832912356120613,0.8297107861003602,2.6704635919590527,1.6894769663414413,2.2450997741539163,0.8719881116600987,3.5140692117191725,20.104646777396994,0.9273238197592264,1.1444843965538796,0.43599405583004935,26274.102752652645,1036.885923112406,145.64599561964866,523.1369953095722,NA,5136.324621354281,89.77201904323526,47.02154638032991,9.404309276065982,23.17885639218615,0.6638335959575986
8,062623-1000-MDFP
9,062623-1130-MDFB
10,062623-1330-CDXB
11,062623-1500-DFUB,1401.2061957478074,5328.045018986803,275.355072472912,1028.0524822139687,25.097515545745008,59.16437537027616,4538.597929480308,35.76169455463733,187.6886238929337,30.41753121107916,7.98753205097214,29.347592847967242,42.4971745025582,19.592059747667513,17.482145620995627,17.607735747583238,249.39236538140463,123.29731456596973,NA,9.038414372638611,10.081655658520681,3710.56854693284,2.8326400998992556,1.0331511083560838,1.9374000197868921,1.4351111257680682,3.123214296701477,1.336006820032019,0.19520089354384232,696.4569229036367,1.5541164984627478,0.9815472621869985,13.087296829159982,122.9038083843061,99.37227191975755,390.1128850388259,39.49800708669782,9.965722454852719,5.293798390726193,3.8735110176045313,25.85576123545846,12.831762546221949,3.0988088140836245,13.312352903758349,11.620533052813595,17.474139362319935,3.787432994991097,2.6913060022038535,1.5859481798701283,NA,243.43251501669914,21946.271520031376,1785.2393191532385,734.9800462556051,244.41854521084593,173.99980854243847,51.12387167760091,2.780592257274095,5.122143631820701,1.0244287263641403
12,062623-1630-DFUB,8750.325434421431,6234.724061179519,2703.2917704170472,4164.478191199603,130.03826378654247,507.7157031202909,2073.98658125298,399.1846814294864,791.5282725700796,315.4166407533933,24.6747002502463,67.9086994934262,136.93320872251056,99.43046389184119,168.45907318087376,104.07273878554807,573.3767749258835,206.43410535560156,NA,0.7394350220386109,32.613818962179856,1211.943017656626,NA,13.559890895013552,14.847396035821104,42.52409544240025,3.8233490602852678,1.906981040465012,NA,828.4307290623408,4.847407366697561,4.724168196357794,11.255844224365527,136.12776273530483,366.074855916793,78.58689202615042,137.27329790558787,43.68441960084759,5.144424341055218,22.566298370006923,103.59345256722702,54.54827651489585,59.744491086876565,34.27369586334164,148.1940053877083,29.1678264719754,28.5753318440126,12.744022123834078,24.03985991541428,NA,101.38441219797673,12043.225599197242,15997.971330674618,5811.348148498562,244.74923030995055,2089.738504461546,NA,NA,30.91856645606091,1.0289855714378433
13,062823-0900-OSBP,14423.531602282812,8909.293326897712,4816.259539372724,7995.417724984031,210.35282510596997,1385.5932649954789,2381.18182666545,866.8587275928429,2165.935224548539,695.8508275405839,33.81940152878817,143.39493054921903,794.4587870583891,351.4250060139524,957.5774970344994,315.10160857672554,564.2710436488514,510.9526214611002,NA,4.278406074506649,206.07553835242592,3102.7380540094396,36.419848531351356,49.63209283468682,NA,NA,5.165155056282298,14.625303289839326,NA,3334.3622519763094,42.38138723217174,22.549716722105632,166.80750271664746,360.95965959992697,1223.940984463265,483.06135968204853,435.49092826391717,130.84681374582132,20.499173599993366,100.37709036689256,254.98590713213275,185.8421990742661,275.44109229965244,139.35207543570047,324.967519472763,131.6064625102652,118.01591416223572,63.406377278043685,77.89757357759659,NA,182.6828759964497,1546.914195675346,19316.68895890189,9456.95652949325,482.78996841638116,3583.203580582814,NA,NA,29.478613141108067,1.3208339900292818
