test_id,gravi_filter_id,mass_1_pre_ug,mass_2_pre_ug,mass_3_pre_ug,mass_1_post_ug,mass_2_post_ug,mass_3_post_ug
1 & 2,C6711,149989,149991,149991,169443,169445,169443
3,C6724,147655,147657,147657,174499,174497,174501
4,C6715,149870,149868,149870,178432,178433,178430
5,C6723,149947,149947,149946,153509,153510,153508
6,C3877,146632,146634,146631,146728,146727,146726
7,C3860,149144,149144,149143,149124,149122,149125
8,C3894,144590,144590,144592,154518,154517,154516
9,C3882,149220,149222,149221,149901,149903,149900
10,C6703,148093,148095,148091,148266,148264,148268
11,C6691,148301,148301,148300,148475,148474,148475
12,C6692,151374,151375,151376,161844,161843,161842
13,C6725,146110,146110,146109,150813,150813,150811
14,C6705,149131,149131,149130,161030,161030,161031
15,C6720,148878,148879,148880,149255,149254,149256
16,C6713,153186,153185,153186,153941,153939,153940
17,C3895,148206,148204,148208,148209,148207,148211
18,C6688,149709,149707,149708,151102,151102,151100
19,C6702,151794,151793,151796,157888,157890,157886
20,C6704,151225,151223,151226,151447,151447,151446
21,C6719,151544,151545,151544,165916,165917,165918
22,C6718,150894,150895,150893,152080,152079,152080
23,C6722,148696,148698,148695,149089,149090,149089
24,C1983,156558,156559,156556,163213,163211,163215
25,C6699,147379,147378,147380,147977,147975,147977
26,C3887,147608,147609,147606,148069,148070,148069
27,C6712,152817,152817,152815,152894,152892,152894
28,C6774,157214,157216,157214,159021,159021,159023
29,C6763,156448,156447,156448,157370,157371,157369
30,C6764,147208,147208,147207,147443,147443,147443
31,C6766,149482,149484,149480,149474,149476,149476
32,C6760,157312,157312,157310,159182,159180,159184
33,C6769,158041,158040,158040,161281,161279,161283
34,C6776,158011,158010,158011,160443,160441,160441
35,C6773,152094,152096,152093,152950,152949,152950
36,C6788,157459,157458,157459,158706,158705,158706
37,C6787,158643,158641,158641,159049,159049,159051
38,C6791,157375,157377,157376,157898,157898,157898
39,C6793,151130,151131,151129,151391,151393,151392
40,C6829,155158,155159,155158,157377,157378,157376
41,C6840,156135,156134,156134,156791,156789,156790
42,C6830,154162,154163,154163,154499,154501,154497
43,C6831,152475,152475,152476,154691,154692,154689
44,C6836,153718,153720,153719,153758,153758,153756
45,C6837,151409,151407,151407,152276,152275,152278
46,C6790,150799,150797,150800,151310,151310,151310
47,C6785,157484,157485,157484,157813,157813,157814
48,C6782,158568,158567,158569,161369,161369,161369
49,C7091,148932,148933,148930,149473,149471,149474
50,C7093,149273,149274,149273,149982,149982,149984
51,C6784,159015,159017,159014,159326,159325,159326
52,C6778,155028,155026,155028,155374,155372,155373
53,C7149,148774,148774,148775,149008,149007,149008
54,C7146,148028,148027,148027,154081,154082,154079
55,C7145,148565,148563,148565,153846,153846,153845
56,C7143,151340,151341,151339,151329,151330,151330
57,C7140,150301,150300,150299,151181,151181,151182
58,C7085,151197,151199,151195,162935,162936,162937
59,C7090,151435,151433,151436,151418,151419,151417
60,C7087,149618,149618,149619,152664,152663,152664
61,C6772,,,,152851,152856,152851
62,C2545,147510,147511,147512,152480,152478,152480
63,C2548,149179,149177,149179,158085,158087,158083
64,C2554,151860,151859,151860,153764,153763,153763
65,C2555,150017,150016,150015,150288,150287,150290
66,C2542,147533,147534,147531,150638,150636,150640
67,C2546,145270,145268,145268,151454,151456,151456
68,C2541,147629,147630,147630,147866,147868,147865
69,C2551,150367,150365,150365,158952,158952,158951
70,C2557,148971,148971,148970,150296,150295,150297
71,C2561,150037,150038,150036,150760,150758,150758
72,C2552,148505,148503,148504,149448,149450,149449
73,C2615,149181,149182,149182,149470,149469,149471
74,C2613,144122,144124,144124,144691,144690,144692
75,C2610,147734,147734,147732,150216,150218,150216
76,C2616,145982,145982,145982,148067,148069,148066
77,C2611,147811,147809,147813,148001,147999,148003
78,C2608,141053,141051,141051,144140,144138,144141
79,C2604,147747,147747,147745,147750,147750,147749
80,C2578,146312,146313,146314,146304,146303,146305
81,C2580,143978,143978,143978,144277,144279,144275
82,C2633,145280,145279,145280,145425,145423,145427
