test_id,gravi_filter_id,mass_1_pre_ug,mass_2_pre_ug,mass_3_pre_ug,mass_1_post_ug,mass_2_post_ug,mass_3_post_ug,oc_ugcm2,ec_ugcm2,bc_880_ugcm2,xrf_F_ugcm2,xrf_Na_ugcm2,xrf_Mg_ugcm2,xrf_Al_ugcm2,xrf_Si_ugcm2,xrf_P_ugcm2,xrf_S_ugcm2,xrf_Cl_ugcm2,xrf_K_ugcm2,xrf_Ca_ugcm2,xrf_Ti_ugcm2,xrf_Cr_ugcm2,xrf_Mn_ugcm2,xrf_Fe_ugcm2,xrf_Ni_ugcm2,xrf_Cu_ugcm2,xrf_Zn_ugcm2,xrf_Ga_ugcm2,xrf_As_ugcm2,xrf_Se_ugcm2,xrf_Sr_ugcm2,xrf_Zr_ugcm2,xrf_Pb_ugcm2,xrf_Cd_ugcm2,xrf_In_ugcm2,xrf_Sn_ugcm2,xrf_Sb_ugcm2,xrf_Te_ugcm2,xrf_I_ugcm2
1 & 2,C6700,151808,151803,151806,167658,167658,167658,,,,47.5,[-0],0.02,0.078,7.112,0.0083,0.04685,0.0716,0.09285,0.05782,[0.00000],0.025,0.00576,0.1827,0.0658,0.00227,0.0073,0.0029,[0.00103],0.00516,[0.00086],[-0.0005],0.01542,[-0],[0.008],[0.029],[-0],[0.09],[-0]
3,C6689,152930,152931,152927,187957,187957,187957,3136.593,609.647,,33.88,[-0],[-0],0.1272,5.3915,0.00326,0.1249,0.9081,0.13206,0.7542,0.0045,0.00313,[0.00007],0.0582,0.0418,0.0189,0.0288,0,[0.0005],0,[0.0020],[0.0005],0.0167,[-0],[0.095],0,[-0],0,[0.50]
4,C6710,149705,149704,149701,182426,182424,182424,,,,40.25,[-0],0.0192,0.0914,6.231,0.00677,0.0587,0.8897,0.2868,0.066,0.0079,0.00569,0.0023,0.0527,0.02027,0.00472,0.02268,0.0033,0.00194,0,[-0],[-0.0004],0,[-0],[-0],[0.081],[-0.10],0,[-0]
5,C6695,149996,149994,149993,153756,153756,153754,,,,80.7,[-0.0020],0.0138,0.0781,9.664,0.00866,0.0336,[-0.0800],0.00758,0.00451,0.0033,[-0.00200],[-0.00050],0.0096,0.0331,0.0433,0.0318,0.00407,[0.00059],0,[-0],[0.0010],0,[0.037],[0.013],0,[-0.08],0,[-0]
6,C6693,148548,148548,148549,148681,148684,148684,22.83039,2.273668,,133.2,0.2015,0.0256,0.057,9.603,0.01095,0.03604,[-0.0300],0.22784,[-0.00200],[0.0018],[-0.00200],[-0.00080],[0.00011],[-0.00200],[0.00030],0.023,0.00242,[0.00063],0,[-0.00030],[-0.0001],0,[0.016],[0.016],[0.005],[-0],0,[-0.06]
7,C6694,154442,154441,154441,154448,154447,154444,9.121473,0.2481999,,146.7,[0.0034],0.0193,0.0664,10.486,0.00813,[0.00018],[-0.20000],0.00383,0.00095,[0.00057],[-0.00200],[-0.00020],[0.00135],[-0.00080],[-0.00001],0.00248,0.00286,[-0],0.00529,[-0],[-0],0.0153,[-0],[-0],0,[-0.00],[0.17],[-0]
8,C6697,152642,152639,152643,153753,153748,153753,620.4266,0.8400384,,56.4,[-0],0.017,0.0644,8.456,0.00996,0.1356,0.1539,0.02611,0.0163,[-0],0.00119,[-0.00080],0.0146,[0.00007],0.00742,0.01648,0.00286,[0.00051],0,[-0],[0.0001],0,[0.025],[-0],0,[-0.10],[0.07],[-0.02]
9,C3882,149215,149215,149219,149901,149903,149900,48.48487,15.2426,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,C6706,143635,143633,143632,143888,143883,143886,21.34159,2.407906,,130.7,0.4125,0.0384,0.0533,10.661,0.01092,0.07056,0.1956,0.14402,0.07566,[0.0005],[-0.00040],[-0.00040],0.00187,[-0.00100],[-0.00100],0.0512,0.0032,[0.00051],0,[-0],[-0],0.01542,[-0],[-0.003],[0.045],[-0],0,[-0]
11,C1981,155861,155862,155864,156102,156102,156101,20.63557,2.725246,,129,0.0783,0.0297,0.0696,9.154,0.00949,0.06066,0.0557,0.5279,0.004,[-0],[-0.00100],[-0.00030],0.00194,[-0.00080],[-0.00080],0.0222,0.00276,[0.00004],0.00544,[-0.00040],[-0.0003],0.0147,[0.051],[-0],[0.039],[-0.03],[0.19],[0.28]
12,C1998,154570,154570,154569,163754,163754,163754,470.2677,24.69892,,42.2,[-0],[0.0050],0.0427,5.7549,0.0047,0.03899,0.118,0.06281,0.00758,0.0033,[-0.00200],[-0.00030],0.0113,[-0.00100],[0.00150],0.00496,0.0023,[-0],0,[-0.00010],[-0.0004],0.0146,[-0],[-0.010],[0.041],[-0],0,[-0]
13,C1989,155895,155897,155897,162390,162390,162390,346.0434,20.38377,,61,[-0],0.0132,0.0686,7.404,0.00508,0.04563,[-0.0010],0.04402,0.00448,[0.00142],[-0.00200],[-0.00040],[0.00074],[-0.00060],[-0.00100],0.00576,0.00361,[0.00028],0,[0.00003],[-0],0.01494,[-0.000],[0.045],0,[-0],[0.24],[0.38]
14,C6698,150618,150618,150615,162899,162895,162895,599.4772,45.43414,,60.7,[-0],0.0278,0.0583,7.672,0.00672,0.03929,0.1578,0.02023,0.01515,[0.00012],[-0.00200],[-0.00060],[0.00116],[-0.00200],0.00545,0.00955,0.0025,[-0],0,[0.00095],[-0.0003],0.01454,[-0.007],[0.024],0,[-0.03],0,[-0]
15,C6716,148809,148808,148810,149292,149294,149291,28.60406,17.64024,,110.5,0.087,0.023,0.0839,11.299,0.00977,0.03802,0.026,0.23052,0.00332,[-0.0003],[-0.00200],[-0.00020],0.00271,[-0.00100],[0.00114],0.019,0.0034,[-0],0,[-0],[0.0003],0.0157,[-0],[0.040],0,[0.03],0,[-0]
