0,dco2,dco,dch4,dnox,pre_exp_min,post_exp_min,ch4_offset_min,co_offset_min,notes
11,965.998717819019,18.344948036582245,4.750573036582246,57.377082800375206,pre_exp_min,30,15,22,
9,1155.6377560975611,34.785941666666666,7.3697625,269.5346378571429,pre_exp_min,7,5,5,good
13,76.76597342192701,10.818727390180879,10.886353359173127,56.15086531007752,pre_exp_min,10,4,4,good
14,141.5624507414177,16.539647318708106,15.58651685963843,40.58345603820576,pre_exp_min,20,5,4,data gap in ch4 post but values are solid
15,1205.1221950036384,3.4133217793183133,5.477854342361706,706.5494662058371,pre_exp_min,3,5,0,"review values, short on CO data"
17,6.542954091816341,0.0,nan,1136.2685437598298,pre_exp_min,2,5,0,"blank with data gaps, NOx is off, but others are useable"
20,1169.7503976975406,15.79892144282863,4.666281179138322,121.15384492008187,pre_exp_min,4.5,4.25,4.25,"short on end data, but values look useable"
21,283.9450151975684,67.34609681099043,9.52879808745837,11.512772357403195,pre_exp_min,20,5,7,good
23,41.0555104011587,29.707016076753533,0.9753427654609101,5.882562718786463,pre_exp_min,10,5,7,good
25,214.56114299378294,8.538211382113822,4.702456445993031,126.16017508710794,pre_exp_min,7,8,2,good-ish
26,22.898824147671235,0.001811130088243666,4.00590503131227,194.9322629175716,pre_exp_min,20,2,2,"good blank, CH4 seems high?"
28,430.6941161616162,23.49941287878788,5.773333333333333,774.6933901515151,pre_exp_min,10,2,2,good
29,811.0943809523808,29.81153333333333,6.187465079365079,127.23780612035495,pre_exp_min,50,8,40,"good, long stretch for BG"
31,118.51566236250602,-0.041748366013071914,0.22067752922765305,2.303884470220016,pre_exp_min,5,0,0,good
33,1185.8766600154481,35.501675677995195,6.040595891978488,270.71513516992786,pre_exp_min,25,10,5,good
35,437.73172975172974,12.188641636141636,5.411031746031746,-16.925495421245444,pre_exp_min,2,7,0,"good, CH4 BG went to 0?"
36,-22.19036935961975,1.3510660847880298,0.15006753948462226,2.3475533042394012,pre_exp_min,10,0,0,good
37,269.51405550077465,5.954590004852014,1.1190350557981565,-79.64497234352262,pre_exp_min,10,4,4,good
38,-48.03755918906478,1.8859767641996559,0.6105737731347134,-2.7986822402785823,pre_exp_min,10,4,4,"good, time gap, values useable"
39,-41.26062511857333,2.0795772465692783,-0.9022829317650034,23.151495683930932,pre_exp_min,10,4,4,"CH4 is weird, should it be negative?"
