Exp,Experiment,Date,Time,Fuel Category,Fuel Material,Combustion Mode,Starting Mass,Furnace on,Furnace off,Hood on,N2 on,H2 on,Data logging on,Pumps on,SUMMA open,Fuel in,Smoking,Burning,Burning ends,Smoking ends,SUMMA closed,Pumps off,Data logging off,Fuel out,H2 off,N2 off
3,062123-1200-CXDP,6/21/2023,12:00:00,Manufactured wood,Plywood,Pyrolysis,118.6,11:58:40,12:52:20,12:15:25,12:15:43, ,12:28:56,12:29:40,12:29:55,12:30:06,12:31:47,12:51:36,,,,12:51:43,12:52:02, , , 
4,062123-1500-SYPP,6/21/2023,15:00:00,Structural wood,SYP,Pyrolysis,126.3,14:38:50, ,,15:07:38, ,15:07:54,15:08:06,15:08:16,15:08:45,15:10:25,15:23:50,15:28:29,15:29:51,15:29:47,15:28:32,15:33:08, , ,15:29:16
5,062323-0900-OSBP,6/23/2023,9:00:00,Manufactured wood,OSB,Pyrolysis,118.08,8:38:00, ,8:38:00,9:15:21, ,9:16:13,9:23:30,9:23:47,9:24:10,9:26:36,,,9:38:30,,9:38:42,9:38:55, , , 
6,062323-1100-OSBB,6/23/2023,11:00:00,Manufactured wood,OSB,Flaming,42.1,10:42:12,11:02:17,10:45:43, ,11:10:37,11:12:03,11:12:20,11:12:46,11:13:07,,11:14:04,11:29:34,,11:30:23,11:30:05,, , , 
7,062323-1330-BLKP,6/23/2023,13:30:00,Blank,Blank,Pyrolysis,,13:14:28, ,13:17:15,14:01:53, ,14:00:27,14:00:34,14:01:02,14:02:02,,,,,14:22:26,14:22:23,14:23:04, , , 
8,062623-1000-MDFP,6/26/2023,10:00:00,Manufactured wood,MDF,Pyrolysis,34,9:34:30, ,9:57:18,10:19:01, ,10:19:20,10:19:34,10:19:58,10:20:42,10:23:18,,,10:34:35,10:36:50,10:36:53,10:37:40,10:37:24, ,10:38:11
9,062623-1130-MDFB,6/26/2023,11:30:00,Manufactured wood,MDF,Flaming,122.5,11:29:19,11:33:33,, ,11:34:50,11:34:05,11:35:22,11:35:37,11:35:47, ,11:36:52,11:55:50, ,11:56:11,11:56:12,11:56:30,11:56:42, , 
10,062623-1330-CDXB,6/26/2023,13:30:00,Manufactured wood,Plywood,Flaming,117.5,13:01:03,13:30:55, , ,13:32:56,13:34:27,13:34:31,13:34:45,13:35:12, ,13:36:07,13:56:57, ,13:56:48,13:56:29,13:57:16,13:58:21,13:57:00, 
11,062623-1500-DFUB,6/26/2023,15:00:00,Structural wood,DFU,Flaming,122.7,14:46:16,14:58:29,14:51:48, ,15:01:11,15:01:31,15:01:42,15:02:10,15:02:25, ,15:04:15,15:23:18, ,15:23:47,15:23:25,15:23:13,15:23:17,15:23:03, 
12,062623-1630-DFUB,6/26/2023,16:30:00,Structural wood,DFU,Pyrolysis,32.1,17:28:00, ,17:28:00,16:37:00, ,16:36:00,16:37:00,16:37:00,16:38:00,16:41:00,,,16:54:00,16:56:00,16:56:00,16:57:00,16:57:00, ,16:57:00
13,062823-0900-OSBP,6/28/2023,9:00:00,Manufactured wood,OSB,Pyrolysis,24.92,8:32:46, ,8:51:52,9:20:39, ,9:21:05,9:21:19,9:21:39,9:21:48,9:24:51,,,9:32:52,9:39:06,9:39:14,9:39:48,9:39:44, ,9:39:54
14,062823-1100-SYPP,6/28/2023,11:00:00,Structural wood,SYP,Pyrolysis,34,10:32:14, ,,10:54:02, ,10:54:26,10:55:00,10:54:45,10:55:43,10:59:21,,,11:08:46,11:13:04,11:13:14,11:13:30,11:13:26, ,11:13:31
15,062823-1300-SYPB,6/28/2023,13:00:00,Structural wood,SYP,Flaming,120.64,12:45:51,13:19:37,, ,13:20:18,13:20:22,13:22:38,13:22:50,13:23:01, ,13:25:05,13:41:14, ,13:41:57,13:41:52,13:42:13,13:42:24,13:41:53, 
