Exp. #,Exp.,CH1,CH2,CH3,CH4,CH5,CH6,CH7
3,062123-1200-CXDP,0.249421363,0.582929669,0.423213482,0.312648626,0.480518681,0,0.45633193
4,062123-1500-SYPP,0.191967619,0.435048378,0.406892267,0.206936439,0.314349409,0,0.508759938
5,062323-0900-OSBP,0.125716073,0.321142416,0.223819681,0.061283825,0.106725876,0,0
6,062323-1100-OSBB,0.200029022,0.46239559,0.283195287,0.191478917,0.269441622,0,0.356809767
7,062323-1330-BLKP,0.250898845,0.553404222,0.415854915,0.232140528,0.321101286,0.230211986,0.06610642
8,062623-1000-MDFP,0.195878172,0.4314928,0.119300499,0.186555553,0.338065699,0.184900933,0.053568062
9,062623-1130-MDFB,0.245410927,0.552704587,0.388951859,0.229959204,0.325296379,0.233691858,0.066922843
10,062623-1330-CDXB,0.281019219,0.620574533,0.452348445,0.258904897,0.366778751,0.26558499,0.07931892
11,062623-1500-DFUB,0.269722646,0.623329491,0.380894012,0.259265152,0.366612025,0.268036737,0.074888857
12,062623-1630-DFUB,,,,,,,
13,062823-0900-OSBP,0.182451125,0.407275945,0.091937617,0.210597625,0.236145733,0.174716899,0.05422267
14,062823-1100-SYPP,0.19653201,0.494629434,0.175153195,0.266583082,0.293962563,0.212029683,0.061927391
15,062823-1300-SYPB,0.237054186,0.524446514,0.308668167,0.217627625,0.309320241,0.225545069,0.042756034
16,062823-1430-ASHP,0.441567143,1.043147366,0.656935729,0.437924791,0.619488075,0.443867346,0.118158748
17,062923-1500-BLKB,0.327767685,0.771216174,0.448796424,0.321701317,0.457654667,0.337281586,0.08622595
18,063023-1100-ASHB,0.1050196,0.204477371,0.166571973,0.11074851,0.11838761,0.097617124,0.053965982
19,063023-1300-CDXP,0.22411475,0.390944877,0.18933198,0.22254932,0.236521231,0.175776592,0.108769954
20,063023-1500-DSOB,0.246866825,0.382709632,0.325947481,0.214835854,0.227337765,0.171371131,0.12680831
21,071023-0930-DSOP,0.157001488,0.346287877,0.329025857,0.321982787,0.20794036,0.154517969,0.085707046
22,071023-1130-XPSP,0.170772991,0.377384533,0.163535267,0.336421716,0.225270145,0.168325059,0.123880682
23,071023-1330-CELP,0.130404984,0.288430381,0.123995038,0.259824004,0.174300257,0.128931485,0.08434699
24,071023-1500-PUFP,0.210032748,0.457181728,0.205891624,0.437232804,0.280541315,0.209721442,0.143116196
25,071023-1600-XPSB,0.077711587,0.169754857,0.120588969,0.093926166,0.099767782,0.077133313,0.040839949
26,071123-1130-BLKB,0.172023808,0.378768118,0.343069963,0.210417495,0.224036317,0.173199988,0.090776672
27,071223-0930-CELB,0.103009559,0.242177538,0.174065331,0.126449074,0.123763071,0.093130958,0.064644735
28,071223-1100-PUFB,0.093543468,0.207245095,0.194344332,0.109555909,0.106199281,0.080836468,0.051352249
29,071223-1330-JSGB,0.27411248,0.619318818,0.457707219,0.329177189,0.320833569,0.239532921,0.152837614
30,071223-1530-OSBB,0.165430162,0.407623492,0.304392416,0.215264552,0.209927025,0.160627204,0.092355235
31,071323-1030-BLKP,-4.55E-05,0.000718494,0.008790716,0.007520432,0.007853179,0.00574616,0
32,071423-0930-TRXP,0.198710962,0.430476588,0.273065801,0.220327914,0.223169826,0.168004346,0.091489988
33,071423-1100-TRXB,0.167031992,0.384692297,0.2789274,0.190615249,0.194195532,0.145925647,0.087583313
34,071423-1300-CPLP,0.173694887,0.3978854,0.160013952,0.139998295,0.141315718,0.15592194,0.088837848
35,071423-1430-CPLB,0.10431725,0.240435834,0.17189002,0.119999035,0.123170779,0.092772015,0.052526212
36,071723-0930-CarpetP,0.237740986,0.539725319,0.530894827,0.272730267,0.280230352,0.212102243,0.149277942
37,071723-1130-CarpetB,0.149410792,0.335388473,0.244134015,0.168450112,0.173145953,0.131058774,0.075138033
38,071723-1345-PVCP,0.286616811,0.641523927,0.451810073,0.326110079,0.332387101,0.252272997,0.170831165
39,071723-1500-CPVCP,0.222226713,0.474238129,0.334825028,0.240472849,0.246371745,0.185641112,0.108272512
40,071723-1615-PVCB,0.131405627,0.276629836,0.194581417,0.137443091,0.140329363,0.107364637,0.060882958
41,071823-1030-BLKP,0.274329913,0.611653704,0.437641689,0.310421221,0.317241338,0.239167015,0.139068098
42,071923-0930-CVCB,0.168319693,0.377652076,0.276225457,0.192353476,0.196919794,0.147825042,0.088277087
43,071923-1100-W14P,0.183641043,0.422833626,0.458278296,0.213848556,0.219702099,0.165040136,0.138188705
44,071923-1300-W12P,0.19116186,0.417120583,0.480725762,0.210267331,0.216389624,0.165039089,0.096464773
45,071923-1430-W14B,0.154953586,0.322324919,0.488148272,0.164120348,0.168289456,0.127170555,0.097145236
46,071923-1600-W12B,0.148718458,0.321291593,0.225983195,0.163195209,0.167598422,0.125299257,0.104824376
47,072023-1100-BLKB,0.249140319,0.56827472,0.402879849,0.289953901,0.297554214,0.220700279,0.13995076
48,072123-0930-TRXP,0.232732249,0.530761882,0.323588923,0.221096108,0.224652794,0.207516684,0.128085049
49,072123-1100-TRXB,0.098495783,0.219513575,0.139015106,0.110456518,0.112710569,0.085426569,0.057909912
50,072123-1300-CPLP,0.193804751,0.429808802,0.272754144,0.218231482,0.223499118,0.169052493,0.099992518
51,072123-1430-CPLB,0.116599323,0.266444123,0.166398373,0.134122598,0.137594491,0.105201563,0.079894762
52,072423-0930-CPLB,0.113321218,0.252816878,0.166831473,0.128799307,0.131447474,0.098257425,0.057544326
53,072423-1100-CDXB,0.204841141,0.473809292,0.295187599,0.237971415,0.243872779,0.190282224,0.115272833
54,072423-1300-DFUP,0.221158206,0.481216133,0.310838971,0.398687202,0.399294502,0.187707652,0.142478241
55,072423-1430-MDFP,0.197156475,0.410919161,0.261185181,0.256937717,0.21643652,0.160805871,0.108638683
56,072423-1600-BLKN,0.24351343,0.542628811,0.344944506,0.277251141,0.283146581,0.211403003,0.143165216
57,072523-1100-MDFB,0.193384285,0.465150404,0.285541251,0.221928239,0.239639684,0.178710493,0.117143058
58,072523-1300-CDXP,0.202882294,0.463233331,0.279122335,0.231403741,0.248389254,0.177926793,0.096255261
59,072523-1430-BLKP,0.202213513,0.443950606,0.264659881,0.212128792,0.227660473,0.169252612,0.114507411
60,072623-0900-OSBP,,,,,,,
61,072623-1100-OSBB,0.194204345,0.435693058,0.262571751,0.207474525,0.223172168,0.167095231,0.120953637
62,072623-1430-JSGP,,,,,,,
63,072623-1430-SYPP,,,,,,,
