"Exp num","Date","Time","Fuel Category","Fuel Material","Combustion Mode","PM2.5_ugcm2","PM2.5_ug","PM2.5_ugm3","OC_ugcm2","OC_ug","OC_ugm3","EC_ugcm2","EC_ug","EC_ugm3","Formaldehyde_ugm3","Acetaldehyde_ugm3","Acetone_ugm3","Acrolein_ugm3","Propionaldehyde_ugm3","Crotonaldehyde_ugm3","Butanone_ugm3","Methacrolein_ugm3","Butyraldehyde_ugm3","Benzaldehyde_ugm3","Isovaleraldehyde_ugm3","Valeraldehyde_ugm3","o-Tolualdehyde_ugm3","m/p-Tolualdehyde_ugm3","Hexaldehyde_ugm3","2,5-Dimethylbenzaldehyde_ugm3","Sodium_ugm3","Ammonium_ugm3","Potassium_ugm3","Magnesium_ugm3","Calcium_ugm3","Chloride_ugm3","Nitrite_ugm3","Nitrate_ugm3","Sulfate_ugm3","PM2.5 Sample Volume (m3)","OC/EC, UCB Sample Volume (m3)","UCI Sample Volume (m3)","Ion Sample Volume (m3)","Carbonyl Sample Volume (m3)"
3,"6/21/2023","12:00:00","Manufactured wood","Plywood","Pyrolysis",3257.75093935732,35027.6666666667,72895.5357027351,3136.593,33724.9642830813,0,609.647,6554.98603111326,0,29.6390583494782,15.5447567519547,0,1.06494158758516,1.68432252812114,0,0,0.271997074585598,0.248987179135153,0,0,0.203114759030778,3.72655360758998,0,7.32457730932832,0.198298637572874,0.490222592566263,13.7769276196979,15.3307553636906,0.880147351103344,22.6300002194796,107.18501654314,139.518396284268,42.4496069910763,162.327492205259,0.480518681,0,0.423213482,0.312648626,0.45633193
4,"6/21/2023","15:00:00","Structural wood","SYP","Pyrolysis",3043.25022326229,32721.3333333333,104092.237480024,0,0,0,0,0,0,17.0676506765358,7.10916166909353,0,0.416152067382318,1.05682790613124,0,0,0.317304759951441,0.245246904641301,0,0,0.191879888152671,2.40481120586975,0,3.83380913927228,0.18250277402935,7.24076956789616,37.2277619222587,13.4088296068533,1.21086803856715,38.8060647694822,138.506779610719,193.322216199922,95.8267265341316,29.9469795167394,0.314349409,0,0.406892267,0.206936439,0.508759938
5,"6/23/2023","9:00:00","Manufactured wood","OSB","Pyrolysis",349.792105752297,3761,35239.8138198463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08880426442051,29.6810076606674,10.8655526152292,5.22348270526521,68.1810077944711,102.124620974621,179.191279264961,155.444853515589,79.2716968955512,0.106725876,0,0.223819681,0.061283825,0
6,"6/23/2023","11:00:00","Manufactured wood","OSB","Flaming",12.5246841020932,134.666666666657,499.799049853764,22.83039,245.474655882614,0,2.273668,24.4467076511313,0,3.53073210577221,0.579806437865811,0.347283514803562,0,0.518254311127083,0,0,0.38894507055352,0,0.177602761641892,0.881912517826341,0.582361440795425,6.6396663407479,0,5.81375901629957,0,6.74651478731729,0.283599216575891,3.56642253726555,0.775521620482113,0,3.77844248513271,0,15.2074797352233,3.46439093866402,0.269441622,0,0.283195287,0.191478917,0.356809767
7,"6/23/2023","13:30:00","Blank","Blank","Pyrolysis",0.465025399830227,5,15.5714106981185,9.121473,98.0749976595912,426.020379580024,0.2481999,2.66867035747524,11.5922302910642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321101286,0.230211986,0.415854915,0.232140528,0.06610642
8,"6/26/2023","10:00:00","Manufactured wood","MDF","Pyrolysis",103.23563876231,1110,3283.38545816208,620.4266,6670.88937751042,36078.1812686171,0.8400384,9.0321776004782,48.8487399924488,96.7132579857005,44.2836115669072,0,8.60141253570084,10.246078157541,2.52857010208807,2.45478919883269,5.35865568554636,5.79900949188716,0,0,6.54962466254613,53.1621677857228,0,32.3235699659995,2.61447016694388,0.311494614153887,17.4894424380924,8.47735768015439,1.17202804464362,39.2770131050454,40.6620375433156,94.5547152916965,57.2676062341602,38.0246070724038,0.338065699,0.184900933,0.119300499,0.186555553,0.053568062
9,"6/26/2023","11:30:00","Manufactured wood","MDF","Flaming",63.7084797767412,685,2105.77197971208,48.48487,521.314212274222,2230.77610292363,15.2426,163.889972521553,701.308012714558,57.3464474603985,22.0142971212386,6.33040201235922,0,6.08836806290492,1.8455021404276,5.10517238486118,0.23787169352623,4.12722005847839,0.652273544326262,0.426731721484098,2.78553169057686,44.9781295155079,0,51.4919248125786,0.117844664788075,1.14755830777706,1.45882816619943,1.61952160871108,0.911906878926229,1.58829751602376,5.97207570348,1.88676205367279,10.6801204617146,11.3912945402264,0.325296379,0.233691858,0.388951859,0.229959204,0.066922843
10,"6/26/2023","13:30:00","Manufactured wood","Plywood","Flaming",23.4682818447637,252.333333333314,687.971515921635,21.34159,229.466928126845,864.005635735832,2.407906,25.8900481659613,97.483100102763,19.1389834859073,2.79067718017341,0.457905251357432,0,0.767089995678206,0.513168863116139,2.0909670731775,0,0.195312795484356,0,0,0.251929174023045,13.1538843443658,0,12.1993088156016,0,13.1735972340454,0.521835278967319,4.0808550253107,0.768329847387939,0,6.93056792587434,0,18.8055909966044,6.96958630720685,0.366778751,0.26558499,0.452348445,0.258904897,0.07931892
11,"6/26/2023","15:00:00","Structural wood","DFU","Flaming",22.2592158052051,239.333333333314,652.824558423347,20.63557,221.875729879848,827.781043610631,2.725246,29.3021198518935,109.321282522155,43.1342502663647,12.8334112510223,4.59703637885674,0,3.33862820205682,1.43170164821717,6.07121764456894,0,2.13626507879537,1.2411459290933,0.139810519474212,2.02813016628095,23.4443049384503,0,23.053075840108,0,2.44515755437892,0.0864914361186497,13.9223627709134,0.644912433121749,0,4.36150873450204,0.706545783677091,14.0991244746999,5.32064438417084,0.366612025,0.268036737,0.380894012,0.259265152,0.074888857
12,"6/26/2023","16:30:00","Structural wood","DFU","Pyrolysis",854.189656101485,9184.33333333334,0,470.2677,5056.3657401476,0,24.69892,265.565278896778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"6/28/2023","9:00:00","Manufactured wood","OSB","Pyrolysis",603.943987606176,6493.66666666666,27498.5560152665,346.0434,3720.69353766842,21295.556176672,20.38377,219.168350884078,1254.41987660322,163.608503601907,9.89514348887652,0,11.8720970398544,16.2764642537891,3.81974366072346,3.32892496809914,0,0,0,0,5.56077743866173,101.15108311708,0,66.589186773724,2.66995889357717,1.44365146568011,8.77134191257855,3.51384197708782,0.68870320831016,24.9497787308855,20.5480365697381,24.9404294089261,23.8186767300913,12.1482972564387,0.236145733,0.174716899,0.091937617,0.210597625,0.05422267
14,"6/28/2023","11:00:00","Structural wood","SYP","Pyrolysis",1142.0403785964,12279.3333333333,41771.7589886891,599.4772,6445.63931581865,30399.7026483252,45.43414,488.512455627017,2303.98144597055,209.250833770795,20.6999750724199,0,4.95817755345127,10.5879529140829,2.16702573502572,1.92189268881035,0,0,0,0,2.90401867567778,58.0657273289618,0,68.8303419725853,1.57555967439352,0.179792767194431,23.3927879449154,8.40760254996226,0.827053233633183,30.6004113569367,41.7062553879544,55.4656405390347,24.9996434507423,16.8476180720275,0.293962563,0.212029683,0.175153195,0.266583082,0.061927391
15,"6/28/2023","13:00:00","Structural wood","SYP","Flaming",44.9524553169229,483.333333333343,1562.5661346014,28.60406,307.553738037136,1363.60213681788,17.64024,189.669639620117,840.938977123534,36.7110522926425,15.5389774926271,13.2376192796554,0,4.58354603235651,1.91108113535507,4.41749578550714,0.765014828082511,0.101529529142015,0,0,2.59087641290584,27.6284138047042,0,27.1972957080163,0,2.22742105925201,0.677547821936668,4.29929759606576,0.653375232119544,0,2.294060439248,5.75444270919191,8.35236036785312,3.85068910713886,0.309320241,0.225545069,0.308668167,0.217627625,0.042756034
16,"6/28/2023","14:30:00","Roofing","Asphalt shingles","Pyrolysis",89.5638920073018,963,1554.50934225005,84.28075,906.195124296107,2041.58997606485,1.178934,12.6760172716416,28.5581207671032,11.795927289277,12.761082234893,17.0218670563436,1.41276039925541,1.67936063438993,1.10958521666123,2.27154488806872,0.655746623178506,2.2768610412155,0.327715049925885,1.13234527501933,0.784434090313821,0.425355725671704,0,3.07489717138844,0.626016281079756,0,0.185104962354141,0.912861713279895,0.297300912566971,0.734464745111906,0,0,1.42786812450634,2.21273200310781,0.619488075,0.443867346,0.656935729,0.437924791,0.118158748
17,"6/29/2023","15:00:00","Blank","Blank","Flaming",0.527028786473355,5.66666666665697,12.3819706762806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457654667,0.337281586,0.448796424,0.321701317,0.08622595
18,"6/30/2023","11:00:00","Roofing","Asphalt shingles","Flaming",128.254005273177,1379,11648.1783862348,60.76587,653.360762897947,6693.09580251459,44.87642,482.515793937101,4942.94212086294,45.6230482380549,23.7537686240936,4.78156498662435,0,3.24446240967134,1.81804808073353,7.6882210723044,1.09007003708373,1.92757170619076,6.24594953168831,0.224485862223354,0.0364813152107563,0,0,4.27901043290568,0,0,52.2381312006094,3.0775131873106,1.43998686754341,4.7010111693602,0.29312561406018,0,2.16274331817196,130.893959882621,0.11838761,0.097617124,0.166571973,0.11074851,0.053965982
19,"6/30/2023","13:00:00","Manufactured wood","Plywood","Pyrolysis",579.142632948565,6227,26327.4462663354,349.9765,3762.98262554874,21407.7573283975,0.473419,5.09024883557798,28.9586274125623,96.3037402773931,9.10201083655878,0,3.03451447630473,6.97285070103091,1.97405296319239,3.02561082263582,1.81666528975456,1.72147356061215,0,0,3.86283145803298,56.6605958112293,0,45.4149865688092,0.962127831735591,1.22711657802414,25.8082920555857,4.82940410691886,0.770496445462067,35.0918925072429,21.0279081059425,16.7759434178455,17.8434533073388,9.63851113991272,0.236521231,0.175776592,0.18933198,0.22254932,0.108769954
20,"6/30/2023","15:00:00","Complex","Complex #1","Flaming",21.2051582322584,228,1002.91300039833,22.6219,243.232950374956,1419.33445239943,6.302321,67.7631910246286,395.417773280779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50243613898823,0.588410097915965,5.41004389332518,0.659026309453915,0,12.335629158995,1.23019549613911,12.0849241486479,4.44271897464564,0.227337765,0.171371131,0.325947481,0.214835854,0.12680831
21,"7/10/2023","9:30:00","Complex","Complex #1","Pyrolysis",874.402760147439,9401.66666666669,45213.2845526798,504.7232,5426.8347512229,35121.0592939058,0.7961286,8.56005500227141,55.3984436740261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04761724421001,27.205156970742,11.4237146316769,0.726432745611336,25.3058202145446,41.6708556845929,72.5550139424068,27.5385065848256,19.3733180836154,0.20794036,0.154517969,0.329025857,0.321982787,0.085707046
22,"7/10/2023","11:30:00","Sheathing/Insulation","XPS","Pyrolysis",70.7768658541606,761,3378.16624568693,77.57741,834.120136537941,4955.41270856136,0.4889503,5.25724293961692,31.2326814013885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255858771827916,0.666352941377898,0.304195166759092,0,0,1.32256147222078,1.56678574815902,0.371044567170569,0.225270145,0.168325059,0.163535267,0.336421716,0.123880682
